Height_Dimensions,Counts,Width_dimensions,Width_Counts
1920,83791,2560,83791
1944,77126,2592,79716
2592,57354,3888,57273
3264,54203,4928,54203
1934,27976,3456,22694
2304,22694,1956,20881
2448,19306,3696,19156
1824,19018,2736,19018
3168,18061,4752,18061
3648,17372,5472,17372
3072,15568,4096,15568
4000,15073,6000,15073
2336,13256,3504,13256
2048,9965,1725,11827
2848,9147,3072,9537
2136,7915,1960,8916
2056,7195,4272,8431
3712,7067,3216,7915
1725,6652,5568,7067
2300,6271,2300,6271
1876,6250,1876,6250
2656,5185,3984,5185
1721,5175,2464,5077
1632,5077,5184,4685
3456,4685,3088,3982
2800,3063,2124,3213
1728,2590,2800,3063
3000,2232,4496,2232
1958,1944,2976,1817
1984,1676,1024,1307
682,1306,2816,1303
1880,1303,4288,716
502,647,723,647
2000,612,3008,603
1696,363,2048,472
2432,324,2392,368
1360,300,2544,363
2720,210,3648,324
1184,193,2720,208
1536,172,1792,193
3236,141,3264,150
1152,131,1536,125
1664,72,2032,116
1630,70,3872,81
912,70,1819,72
1288,57,2496,72
315,49,2173,70
3782,42,1368,70
940,42,2600,60
1066,36,1936,57
900,30,1600,53
1125,25,400,49
960,24,3782,42
1200,17,1648,25
1155,12,1280,24
1930,8,170,13
300,7,1677,12
125,6,3000,11
109,6,2497,8
211,6,150,7
2910,6,2576,7
617,3,1728,6
801,3,3600,6
2672,2,320,6
616,2,925,3
820,2,799,3
615,1,957,2
112,1,4080,2
683,1,928,1
210,1,926,1
,,921,1
,,279,1