Width_dimensions,Width_counts
2560,83791
2592,79716
3888,57273
4928,54203
3456,22694
1956,20881
3696,19156
2736,19018
4752,18061
5472,17372
4096,15568
6000,15073
3504,13256
1725,11827
3072,9537
1960,8916
4272,8431
3216,7915
5568,7067
2300,6271
1876,6250
3984,5185
2464,5077
5184,4685
3088,3982
2124,3213
2800,3063
4496,2232
2976,1817
1024,1307
2816,1303
4288,716
723,647
3008,603
2048,472
2392,368
2544,363
3648,324
2720,208
1792,193
3264,150
1536,125
2032,116
3872,81
1819,72
2496,72
2173,70
1368,70
2600,60
1936,57
1600,53
400,49
3782,42
1648,25
1280,24
170,13
1677,12
3000,11
2497,8
150,7
2576,7
1728,6
3600,6
320,6
925,3
799,3
957,2
4080,2
928,1
926,1
921,1
279,1